Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Hervanta,2h+k+p,kt,"56,00",79000,1411,1979,7/7,on,hyvä,"F,2013"
Tesoma,"2h,kk",kt,"43,00",139100,3235,2018,4/8,on,hyvä,"C,2018"
Keskusta,"1h,kt,parvi",kt,"35,00",232000,6629,2018,4/6,on,hyvä,"C,2013"
Linnainmaa,"1h, tupakeitti&...",kt,"40,00",116900,2923,2005,4/4,on,hyvä,"E,2013"
Tesoma,1,kt,"1,00",9500,9500,2018,1/8,on,hyvä,"C,2018"
Vuores,1h+kt+kph+lasit...,kt,"25,00",109700,4388,2017,3/5,on,hyvä,
Kaleva,1h+kt+kph+lasit...,kt,"25,00",159900,6396,2018,4/6,on,hyvä,
Linnainmaa,1h+kt+kph+ransk...,kt,"27,50",123900,4505,2018,6/7,on,hyvä,
Tammela,"2h, k, s, lasit.p",kt,"63,50",201000,3165,1995,2/5,on,hyvä,"F,2013"
Kaleva,"2h, k, kph/wc, ...",kt,"51,50",148000,2874,1959,4/7,on,tyyd.,
Rantaperkiö,"2h,k,kh,p ",kt,"52,00",105000,2019,1972,3/3,ei,tyyd.,"F,2013"
Koivistonkylä,"2h,k",kt,"62,00",131159,2115,1957,3/3,ei,hyvä,"D,2013"
Annala,"2h, kk, s, p",kt,"42,00",105000,2500,1989,2/3,on,hyvä,"E,2013"
Linnainmaa,"2h,kt,kph,s,piha",kt,"44,00",110000,2500,1999,1/5,on, ,"D,2007"
Nekala,"2h,kk,kph,vh,parv.",kt,"53,00",120000,2264,1956,3/3,ei, ,"F,2013"
Vuores,"2h, kt, kph, p",kt,"42,50",134000,3153,2017,2/6,on,hyvä,"C,2013"
Kaleva,"1h, kk, kph, ra...",kt,"27,00",118000,4370,1961,2/7,on,hyvä,
Tammela,"1h, kk, kph ,vh",kt,"30,50",133000,4361,1972,3/6,ei,hyvä,
Tasanne,autopaikka,kt,"1,00",1,1,2019,1/1,ei,hyvä,A
Härmälä,"1h, k, suihku, ...",kt,"25,00",47800,1912,1939,2/2,ei,tyyd.,
Tammela,"1h, kk, parveke...",kt,"30,00",135000,4500,1981,3/7,on,tyyd.,"B,2007"
Koivistonkylä,"1h, kk, kph/wc, vh",kt,"25,00",84000,3360,1970,3/3,ei,hyvä,"E,2007"
Ristinarkku,"1h,k",kt,"28,00",126000,4500,2019,1/7,on,hyvä,"C,2013"
Niemenranta,"1h, kk, alk, kp...",kt,"30,00",106000,3533,2012,2/6,on,hyvä,"D,2013"
Annala,"1h, kt, kph, s,...",kt,"35,00",103000,2943,2011,1/2,ei,hyvä,
Härmälä,"1h,k,kph,vh",kt,"35,00",68200,1949,1948, ,ei,tyyd.,"C,2007"
Linnainmaa,1h+kt+terassi,kt,"28,00",128500,4589,2018,1/4,on,hyvä,"C,2013"
Lentävänniemi,"1h, kt, psh, p",kt,"32,50",143820,4425,2019,6/6,on,hyvä,
Tesoma,1h+kt+lasitettu...,kt,"26,00",104850,4033,2018,2/6,on,hyvä,"C,2018"
Härmälä,1h+kt+kph+terassi,kt,"23,00",116500,5065,2018,1/6,on,hyvä,
Pyynikki,"1h, kk, kph/wc, vh",kt,"29,50",131000,4441,1966,4/7,on,tyyd.,"E,2013"
Hervanta,"1h, kk, et, kph...",kt,"30,00",86000,2867,1980,2/6,on,hyvä,
Vuores,autokatospaikka,kt,"5,00",1200,240,2018,1/1,ei,hyvä,C
Vuores,autokatospaikka,kt,"5,00",1200,240,2018,1/1,ei,hyvä,C
Vuores,autokatospaikka,kt,"10,00",1000,100,2018,1/1,ei,hyvä,
Vuores,autokatospaikka,kt,"10,00",1000,100,2018,1/1,ei,hyvä,
Vuores,autokatospaikka,kt,"10,00",1000,100,2018,1/1,ei,hyvä,
Takahuhti,"2h, k, las.p",kt,"60,00",120000,2000,1968,4/4,on,hyvä,"D,2007"
Härmälänranta,"2h, kt, las. p",kt,"43,50",173000,3977,2017,4/6,on,hyvä,"C,2013"
Pyynikki,"2h, k, kph",kt,"55,00",153000,2782,1930,1/2,ei,hyvä,
Hämeenpuisto,"2h,k,kph,lasite...",kt,"59,00",205000,3475,1966,2/8,on,hyvä,"C,2007"
Annala,"2 h, k, kph/wc,...",kt,"62,50",121000,1936,1991,2/3,ei,hyvä,
Kaleva,"2h,k,kph",kt,"62,50",158000,2528,1956,2/6,on,tyyd.,
Hervanta,"2h, kt, kph, pa...",kt,"38,50",136900,3556,2019,5/8,on,hyvä,
Keskusta,"2h,kk,p",kt,"38,00",225000,5921,2016,4/6,on,hyvä,"C,2013"
Tammela,"2h, kk, kph",kt,"40,50",180000,4444,1970, ,on,hyvä,
Rahola,"2h,kk",kt,"43,00",72564,1688,1965,3/3,ei,tyyd.,"G,2013"
Härmälä,"2h, k, kph, p",kt,"53,00",86500,1632,1969,1/3,ei,hyvä,"F,2013"
Kaleva,2h+kk,kt,"42,00",138000,3286,1950,4/4,ei,hyvä,
Hämeenpuisto,2h+k+kph,kt,"45,90",131000,2854,1938,3/7,on,tyyd.,
Härmälä,"2h, k, kph, vh",kt,"51,50",121000,2350,1965,2/3,ei,hyvä,F
Tesoma,2H+KT,kt,"32,50",127764,3931,2018,4/6,on,hyvä,
Vuores,"2h, k, kph, las...",kt,"39,00",140000,3590,2017,5/6,on,hyvä,
Tammela,2h+k,kt,"54,30",145000,2670,1971,2/7,on,tyyd.,
Kaukajärvi,"2h,tupak,s,lasi...",kt,"56,00",149900,2677,2007,1/5,on,hyvä,"D,2013"
Annala,"1h,kk,lasip",kt,"34,00",62000,1824,1981,1/3,ei, ,"F,2013"
Vuores,1h+kt+kph+ransk...,kt,"29,50",115500,3915,2017,5/6,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",116900,4584,2019,4/8,on,hyvä,
Vuores,"1h, kt, kph, te...",kt,"25,50",100000,3922,2015,1/5,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",103900,4075,2019,3/8,on,hyvä,
Vehmainen,"1h,kt",kt,"24,00",92001,3833,2019,2/4,on,hyvä,"C,2013"
Vehmainen,"1h,kt",kt,"24,00",93500,3896,2019,3/4,on,hyvä,"C,2013"
Vehmainen,"1h,kt",kt,"24,00",93500,3896,2019,3/4,on,hyvä,"C,2013"
Hatanpää,"2h, kk, s, lasi...",kt,"46,00",158000,3435,2001,4/4,on,hyvä,"F,2013"
Kaleva,"2h, kt, vh, las...",kt,"53,00",249500,4708,2016,5/6,on,hyvä,
Hervanta,"2h, k, kph, las...",kt,"57,00",66000,1158,1976,2/8,on,hyvä,
Vuores,"2h, kt",kt,"33,00",130152,3944,2020,4/5,ei, ,"C,2013"
Hervanta,Tupakeittiö...,kt,"37,00",92000,2486,2007,1/5,on,hyvä,"F,2013"
Vuores,"2h, kt, s",kt,"40,00",143202,3580,2020,4/5,ei, ,"C,2013"
Pyynikki,"2h,avokeitti...",kt,"42,00",198000,4714,2010,2/3,on,hyvä,"D,2013"
Vuores,autokatospaikka,kt,"10,00",1000,100,2018,1/1,ei,hyvä,
Vuores,autokatospaikka,kt,"10,00",1000,100,2018,1/1,ei,hyvä,
Härmälänranta,"1h,kt,parvi",kt,"21,00",142001,6762,2018,6/7,on,hyvä,"C,2018"
Lentävänniemi,"1h, kt, kph, rp",kt,"21,50",111000,5163,2018,3/6,on,hyvä,"C,2013"
Tesoma,"1h, k, kph",kt,"32,00",60000,1875,1981,3/3,ei,tyyd.,"E,2013"
Tesoma,"1 h, kk, vh",kt,"38,50",87000,2260,1969,2/7,on,hyvä,"E,2013"
Rahola,"2h, k, s",kt,"54,00",155000,2870,2014,2/4,on,hyvä,"A,2007"
Kissanmaa,"2h,k",kt,"62,00",160000,2581,1957,1/3,ei,hyvä,"F,2013"
Hämeenpuisto,"2h,k",kt,"58,00",200000,3448,1952,1/7,on, ,"G,2013"
Kaleva,"2h, k, ph",kt,"50,00",136000,2720,1955,2/6,on,tyyd.,
Janka,"2h, k, s, p(las.)",kt,"56,00",110000,1964,1990,3/4,on,tyyd.,"D,2018"
Lappi,"2h,k,et,s,kph,wc",kt,"64,00",237750,3715,1939,3/5,on,hyvä,"F,2013"
Härmälä,"2h, k, kph/s, p",kt,"44,50",143000,3213,2007,3/4,on,hyvä,"D,2007"
Amuri,"2h,kk,kph,vh",kt,"55,00",179000,3255,1968,7/9,on, ,"D,2007"
Hervanta,"2 h, kt, kph, p...",kt,"39,50",130900,3314,2019,1/8,on,hyvä,
Pyynikki,"2h,kk,kph",kt,"45,00",173000,3844,1963,2/6,on,hyvä,"F,2013"
Rahola,"2h, kk, vh, kh/wc",kt,"49,00",92000,1878,1964,3/3,ei,hyvä,"D,2007"
Vuores,1h+parvi+s+piha,kt,"46,00",144000,3130,2014,1/5,on,hyvä,"C,2013"
Härmälänranta,"2h, k, kph, s, ...",kt,"59,50",224000,3765,2015,2/5,on,hyvä,"C,2013"
Pyynikki,"2h,avokeitti...",kt,"60,00",255000,4250,2010,5/7,on,hyvä,"D,2013"
Vuores,"2h, k, kph, las...",kt,"39,00",136000,3487,2017,2/6,on,hyvä,
Kaleva,"2h, kt, p",kt,"43,50",177135,4072,2018,5/6,on,hyvä,C
Hervanta,"2h, kk, kph, vh",kt,"48,00",66500,1385,1975,2/6,on,tyyd.,"E,2013"
Irjala,"2h, k, kph/wc, p",kt,"52,50",92000,1752,1963,2/2,ei,hyvä,
Vuores,"1h, kt, kph, pa...",kt,"21,50",99800,4642,2018,2/5,on,hyvä,
Hervanta,"1h, kt, kph, pa...",kt,"25,50",107900,4231,2019,7/8,on,hyvä,
Linnainmaa,"1h, kk, kph, s,...",kt,"32,00",94000,2938,1985,3/3,ei,hyvä,
Kumpula,"1h,k,kph",kt,"33,00",60000,1818,1962,2/3,ei,tyyd.,"F,2013"
Hervanta,"1h, kk, kph, vh...",kt,"35,00",78000,2229,1979,5/5,on,tyyd.,
Hervanta,"1h, kt, kph, la...",kt,"25,50",98900,3878,2019,2/8,on,hyvä,
Keskusta,"1 h , kk",kt,"28,50",176000,6175,1967,7/7,on,hyvä,F
Lentävänniemi,"1h, kt, kph, rp",kt,"23,50",119800,5098,2019,5/5,on,hyvä,"C,2013"
Lentävänniemi,"1h, kt, kph, rp",kt,"23,50",119800,5098,2019,5/5,on,hyvä,"C,2013"
Tammela,"1h, kk, kph, parv.",kt,"28,50",136000,4772,1971,7/7,on,hyvä,"F,2013"
Hervanta,"1h, kt, wc/kph,...",kt,"32,50",146000,4492,2018,4/5,on,hyvä,
Hervanta,"2h, kph, k, las...",kt,"55,50",86000,1550,1977,9/12,on,hyvä,"F,2013"
Keskusta,"2h, kk, kph",kt,"43,00",194000,4512,1937,4/6,on,hyvä,
Pyynikki,"2h, k, s, p",kt,"49,00",249000,5082,2018,5/8,on,hyvä,C
Hervanta,"2h,k,s,lasitett...",kt,"53,00",127000,2396,1988,5/8,on,huono,"D,2007"
Risso,"2h, kt, kph, s,...",kt,"53,00",161000,3038,2014,4/4,on,hyvä,"C,2013"
Tesoma,"2h, k",kt,"51,50",62000,1204,1966,2/3,on,hyvä,
Tammela,"2h,k,kph,lasit.p.",kt,"55,50",186000,3351,1978,3/7,on,tyyd.,"E,2013"
Lentävänniemi,"2h,k,lasit.p.",kt,"59,00",95000,1610,1967,2/3,ei,hyvä,"G,2013"
Hämeenpuisto,"2h,kk,ransk.par...",kt,"44,00",155000,3523,1955,5/6,on, ,
Härmälänranta,"2h,kt",kt,"36,00",159001,4417,2019,2/3,ei,hyvä,"C,2013"
Irjala,2h+k+p,kt,"50,00",133000,2660,1971,2/3,on,hyvä,
Hämeenpuisto,"2h, k, kph, p",kt,"50,50",197942,3920,1965,2/6,on,hyvä,F
Peltolammi,"2h, kt, kph/wc,...",kt,"37,00",139400,3768,2019,6/6,on,hyvä,
Hervanta,1h+tupak+s+lasit.p,kt,"38,00",88500,2329,1987,2/5,on,tyyd.,"F,2013"
Vehmainen,"1h,kt",kt,"24,00",92001,3833,2019,2/4,on,hyvä,"C,2013"
Tesoma,1h+kt+kph+lasit...,kt,"27,50",118800,4320,2018,2/6,on,hyvä,
Härmälänranta,"1h, kt, las. p",kt,"27,50",139000,5055,2018,6/8,on,hyvä,"C,2013"
Hatanpää,"1h,alk,kt",kt,"29,00",158700,5472,2020,4/7,on,hyvä,"C,2013"
Kaleva,"2h, k, kph, vh,...",kt,"57,50",170167,2959,1961,2/6,on,hyvä,"F,2013"
Keskusta,"2h,kk,s",kt,"66,00",290000,4394,2008,4/4,on,hyvä,"F,2013"
Epilä,"2h, kk, p",kt,"46,50",100000,2151,1967,2/3,ei,tyyd.,
Tammela,"2h, k, kph, vh,...",kt,"49,00",175000,3571,1971,5/7,on,hyvä,"F,2013"
Keskusta,"2h, k, kph",kt,"56,10",170000,3030,1963,5/7,on,tyyd.,"D,2013"
Hervanta,"2h, k, kph, vh,...",kt,"62,00",80000,1290,1977,4/5,on,hyvä,"C,2007"
Lentävänniemi,2H+KT,kt,"43,00",151980,3534,2019,1/6,on,hyvä,"C,2013"
Koivistonkylä,2h+k,kt,"51,00",99900,1959,1961,3/6,on, ,"F,2013"
Hämeenpuisto,"2h,k,kph",kt,"55,00",167100,3038,1966,4/8,on,huono,"C,2007"
Viinikka,"2h,k",kt,"55,00",106000,1927,1950,1/2,ei,tyyd.,"F,2007"
Hatanpää,"2h, kt, kph, p",kt,"38,50",173700,4512,2019,1/7,on,hyvä,"C,2018"
Kaleva,"2h, kt, saunaos...",kt,"43,50",182000,4184,2007,2/8,on,hyvä,"E,2013"
Lentävänniemi,"2h, k, vh, kh, ...",kt,"57,50",62000,1078,1975,3/7,on,tyyd.,"D,2007"
Tahmela,"2h, k, s, p",kt,"63,50",170000,2677,1987,2/2,ei,hyvä,"G,2013"
Keskusta,2h+k+kph,kt,"43,00",175000,4070,1963,7/7,on,hyvä,
Keskusta,"2h, k, p",kt,"67,00",280000,4179,1901,2/6,on,tyyd.,"G,2013"
Kalkku,"2h, k, s",kt,"65,50",144000,2198,2008,2/2,ei,hyvä,"F,2013"
Tesoma,"2h, k,, kph, et...",kt,"56,70",87600,1545,1965,1/5,on,tyyd.,"F,2013"
Haapalinna,"2h, k, s",kt,"58,50",110000,1880,1990,1/3,on,hyvä,"C,2007"
Vuores,"2h, kk, s, taka...",kt,"38,50",121000,3143,2014,1/1,ei,hyvä,
Lentävänniemi,"2h, kt, psh, te...",kt,"39,00",139740,3583,2019,1/6,on,hyvä,
Multisilta,"2h, kt, parvi",kt,"39,00",149212,3826,2019,8/8,on, ,"B,2018"
Tammela,"2h, kk, p",kt,"43,50",141000,3241,1974,3/6,on,hyvä,
Amuri,"2h, k, kph, vh,...",kt,"57,50",161000,2800,1968,6/9,on,hyvä,"D,2007"
Linnainmaa,"2h, k, s, p, er...",kt,"62,50",140000,2240,1984,2/6,on,hyvä,"F,2013"
Peltolammi,2h+k+lasitettu ...,kt,"54,00",65000,1204,1970,1/3,ei,hyvä,"D,2013"
Hatanpää,2h+kt,kt,"37,00",183300,4954,2020,7/7,on,hyvä,"C,2013"
Linnainmaa,2h+kt+s+kph+las...,kt,"43,00",164900,3835,2018,6/7,on,hyvä,
Rantaperkiö,"2h, k, kph/wc, ...",kt,"57,00",109000,1912,1971,3/3,ei,tyyd.,"D,2007"
Kaleva,"2h, k, alk",kt,"56,00",160500,2866,1949,4/4,ei, ,"C,2007"
Lentävänniemi,2h+kt+s+lasitet...,kt,"44,00",144000,3273,2013,2/8,on,hyvä,"C,2013"
Hervanta,"2h, k, kph, p",kt,"54,00",87000,1611,1976,6/7,on,hyvä,"E,2013"
Hyhky,"2h, k, s, p",kt,"56,00",158000,2821,2004,6/7,on,hyvä,"E,2013"
Vehmainen,"2h,kt,s",kt,"61,00",193600,3174,2019,1/4,on,hyvä,"C,2013"
Tammela,2h+k+kh+las.par...,kt,"56,50",191000,3381,1973,1/7,on,hyvä,F
Vuores,Hallipaikka,kt,"12,50",1800,144,2017,1/6,on,hyvä,
Koivistonkylä,"1h, kk",kt,"25,00",82000,3280,1970,1/3,ei,hyvä,"E,2007"
Kaleva,"1h, kt, alkovi,...",kt,"32,00",165000,5156,2017,2/8,on,hyvä,C
Hakametsä,"1h, avok,kph/wc...",kt,"37,00",140500,3797,2013,2/6,on,hyvä,"C,2018"
Hervanta,1h+tupakeitti...,kt,"40,00",96691,2417,1988,2/3,ei,hyvä,"F,2013"
Vuores,1h+kt,kt,"25,00",111500,4460,2016,5/5,on,hyvä,"C,2013"
Amuri,"1h, kk, kph, vh",kt,"26,50",135500,5113,1963,1/6,ei,hyvä,
Kaleva,"2 h , k , p",kt,"57,00",175000,3070,1965,6/9,on,tyyd.,"G,2013"
Ratinanranta,"1h,tk,s,lasitet...",kt,"41,00",245751,5994,2009,3/5,on,hyvä,"F,2013"
Tesoma,"2h, k, kph, vh,...",kt,"58,50",92000,1573,1971,1/3,ei,hyvä,"D,2018"
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",131900,3382,2019,2/8,on,hyvä,
Hatanpää,"2h, kk, ph/wc, ...",kt,"46,00",153000,3326,2001,1/4,on,hyvä,"F,2013"
Hatanpää,"2h, kk, s, lasi...",kt,"46,00",158000,3435,2000,4/5,on,hyvä,"F,2013"
Rahola,"2h,kt,kph",kt,"49,00",65000,1327,1958,5/6,on,tyyd.,"D,2007"
Lentävänniemi,"2h, avok, s, p",kt,"49,00",189900,3876,2019,2/2,on,hyvä,"C,2013"
Keskusta,"2h,k,s",kt,"50,00",250000,5000,2018,6/8,on,hyvä,
Järvensivu,"2h,k,kph,s",kt,"55,00",160000,2909,1989,2/2,ei,hyvä,
Vuores,"2h, kt",kt,"33,00",129978,3939,2020,4/5,on, ,"C,2013"
Haapalinna,"2h, avok, kph, ...",kt,"41,50",135600,3267,2006,3/6,ei,hyvä,"E,2013"
Keskusta,"2h,k,s",kt,"52,00",259000,4981,2018,4/8,on,hyvä,
Onkiniemi,"2h,k,kph,lasip",kt,"58,00",154000,2655,1972,2/4,on, ,"F,2013"
Keskusta,"2h,k,kph,vh,las...",kt,"58,00",151000,2603,1973,4/7,on, ,"G,2013"
Vehmainen,"2h,kt,s",kt,"45,00",150750,3350,2019,2/4,on,hyvä,"C,2013"
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",133900,3433,2019,3/8,on,hyvä,
Tammela,"2h, k, p",kt,"52,50",150000,2857,1984,5/6,on,hyvä,"F,2013"
Kalkku,"2h, k, vh, kph,...",kt,"64,00",61000,953,1976,5/6,on,hyvä,"F,2013"
Keskusta,"2h, k, s",kt,"75,00",325000,4333,1910,3/5,ei,hyvä,"D,2007"
Keskusta,"2h,k,s",kt,"52,00",269000,5173,2018,6/8,on,hyvä,
Keskusta,"2h,kk,s",kt,"49,00",205000,4184,1997,7/8,on,tyyd.,"D,2007"
Keskusta,2h+k+p,kt,"62,00",196500,3169,1962,4/7,on,hyvä,"F,2013"
Kaukajärvi,"2h,k,p (las.)",kt,"57,00",108396,1902,1971,1/3,ei,tyyd.,"G,2013"
Härmälänranta,"2h,kt",kt,"36,00",157901,4386,2019,2/3,ei,hyvä,"C,2013"
Ristinarkku,"2h,kt",kt,"46,00",168400,3661,2019,3/7,on,hyvä,"C,2013"
Tammela,"2h, k, vh, eril...",kt,"57,50",222000,3861,1983,1/7,on,hyvä,
Hatanpää,"2h, kt",kt,"39,00",183200,4697,2019,3/7,on,hyvä,"C,2018"
Kaleva,"2h, k, kph",kt,"45,50",135000,2967,1956,1/4,ei,hyvä,"D,2007"
Vuores,"2h,kt,s,lasip",kt,"54,00",165000,3056,2017,4/6,on,hyvä,"C,2013"
Pyynikki,"2h, k, alkovi, ...",kt,"69,00",242000,3507,1928,4/6,on,hyvä,
Multisilta,"2h, kt",kt,"39,00",126144,3234,2019,4/8,on, ,"B,2018"
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",141900,3638,2019,7/8,on,hyvä,
Järvensivu,Tupakeittiö...,kt,"39,50",153000,3873,2006,2/5,on,hyvä,"C,2007"
Amuri,"2h, k, kph, p",kt,"45,00",143000,3178,1955,2/6,on,hyvä,"G,2013"
Kissanmaa,"2h, kk, wc",kt,"42,30",81000,1915,1957,1/2,ei,tyyd.,
Keskusta,"2h,k,s",kt,"52,00",260000,5000,2018,5/8,on,hyvä,
Keskusta,"2h,kt",kt,"60,00",313500,5225,2018,4/8,on,hyvä,"C,2013"
Hervanta,"2h, k, kh/wc, s...",kt,"62,00",120000,1935,1987,1/5,on,hyvä,"C,2007"
Hervanta,"2 h, kt, vh, kp...",kt,"39,00",137900,3536,2019,5/8,on,hyvä,
Härmälänranta,"2h,kt,s",kt,"45,00",168750,3750,2018,5/7,on,hyvä,"C,2018"
Rautaharkko,"2h, k, kph, p",kt,"48,50",95000,1959,1973,2/2,ei,hyvä,"D,2007"
Kaukajärvi,"2,k,vh,lasip",kt,"52,00",82000,1577,1966,1/3,ei, ,E
Lentävänniemi,"2h,k,kph,las.p",kt,"59,00",115000,1949,1975,6/8,on,hyvä,"G,2013"
Tesomajärvi,2h+alkovi+k+kph...,kt,"61,00",86000,1410,1969,5/7,on,tyyd.,"E,2013"
Hervanta,2h+k+s,kt,"50,00",171500,3430,2014,9/16,on,hyvä,"B,2013"
Hatanpää,"3h, avok, s, ph...",kt,"58,50",192000,3282,2002,2/6,on,hyvä,F
Kaleva,"3h, k, kph, 2x ...",kt,"80,50",201000,2497,1965,8/9,on,hyvä,"F,2013"
Lentävänniemi,"3h,kt,s",kt,"66,00",309000,4682,2019,3/6,on, ,"C,2013"
Tammela,2h+k+parv,kt,"60,00",234000,3900,1970,5/7,on, ,"C,2013"
Hervanta,1h+tk+kph+lasit.p,kt,"37,00",93000,2514,2007,1/5,on,hyvä,"F,2013"
Lintuhytti,2h+kt+s,kt,"41,00",132000,3220,2019,1/2,ei,hyvä,
Viinikka,"2h, k, kph/wc",kt,"53,00",101000,1906,1951,1/2,ei,tyyd.,
Etu-kaleva,"2h, k, kh, et, p",kt,"58,40",176500,3022,1951,2/9,on,tyyd.,"F,2013"
Ristinarkku,"2h,k",kt,"40,00",158600,3965,2019,4/7,on,hyvä,"C,2013"
Lentävänniemi,"2h, kt, psh, p",kt,"48,00",189720,3953,2019,3/6,on,hyvä,
Pyynikki,2h+k+kph+vth+la...,kt,"48,50",200000,4124,1969,4/7,on,hyvä,"F,2013"
Hervanta,"2H,K,KPH,VH,LAS.P",kt,"60,00",85000,1417,1981,4/5,on, ,"F,2013"
Hervanta,"2h, k, kph, vh,...",kt,"54,00",83000,1537,1976,5/7,on,hyvä,"E,2013"
Tesoma,"2h, kk",kt,"54,50",77000,1413,1969,3/7,on,hyvä,"E,2013"
Vehmainen,"2h,kt",kt,"42,00",134400,3200,2019,4/4,on,hyvä,"C,2013"
Hervanta,"2h,avokeitti...",kt,"48,00",100000,2083,1988,1/3,ei,hyvä,"F,2013"
Härmälänranta,"2h,k,s,lasit.p",kt,"58,00",169000,2914,2011,1/4,on,hyvä,"D,2007"
Kalkku,2h+k+vh+kph+p,kt,"64,00",90000,1406,1975,6/6,on,hyvä,
Tesoma,"2h,kk",kt,"38,00",138900,3655,2018,8/8,on,hyvä,"C,2018"
Härmälä,"2h, k,erillinen...",kt,"54,00",98500,1824,1957,2/2,ei,hyvä,
Tampella,"2h, k, kph, s, ...",kt,"68,50",303000,4423,1997,6/6,on,hyvä,"E,2013"
Kaleva,"2 h, k, p",kt,"57,00",168000,2947,1965,4/9,on,tyyd.,"G,2013"
Koivistonkylä,"2h, k, ph, vh, ...",kt,"56,50",125000,2212,1970,1/3,ei,hyvä,
Tesoma,"2h,k,lasitettu ...",kt,"58,50",92000,1573,1969,2/3,on,hyvä,"E,2013"
Vehmainen,"2h,k",kt,"45,00",142401,3164,2019,3/4,on,hyvä,"C,2013"
Ristinarkku,"2h,kt",kt,"46,00",174900,3802,2019,5/7,on,hyvä,"C,2013"
Keskusta,"2h,tupakeitti...",kt,"50,00",229000,4580,1952,2/8,on,hyvä,"F,2007"
Pispala,"1h, kt, kph",kt,"21,00",73000,3476,1935,2/2,ei,hyvä,
Haukiluoma,"1h, kt, kph, la...",kt,"23,50",102000,4340,2017,4/4,on,hyvä,C
Hervanta,"1h, kt, kph, la...",kt,"25,50",104900,4114,2019,4/8,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",105900,4153,2019,5/8,on,hyvä,
Hervanta,"1h, kt, kph, la...",kt,"25,50",105900,4153,2019,5/8,on,hyvä,
Kaleva,"1h, k, kph",kt,"31,30",128000,4089,1955,2/4,ei,tyyd.,"F,2013"
Rautaharkko,2h+k+kph,kt,"53,00",124000,2340,1953,1/2,ei,hyvä,
Niemenranta,"2h, kph, erill ...",kt,"48,00",139000,2896,2012,3/6,on,hyvä,"D,2013"
Tesoma,2h+kt+lasitettu...,kt,"37,00",137000,3703,2018,2/6,on, ,"C,2018"
Kaakinmaa,"2H,K,KPH,LAS.P",kt,"49,00",162000,3306,1963,1/6,on,tyyd.,"F,2013"
Kalkku,"2h,kk,s,kph,et",kt,"53,00",108500,2047,1993,5/5,on,hyvä,"D,2013"
Keskusta,"2h, kk, et, vh,...",kt,"53,00",205000,3868,1962,4/7,on,hyvä,
Tesoma,"2 h, k, kph, et...",kt,"56,70",99000,1746,1965,4/5,on,tyyd.,"F,2013"
Hatanpää,"2h,k,s,p",kt,"58,00",177000,3052,2000,4/5,on,hyvä,"C,2007"
Armonkallio,"2h,k",kt,"55,00",164000,2982,1940,3/6,on,hyvä,"B,2007"
Rahola,"2h, kt, kph, la...",kt,"47,00",137000,2915,2014,3/5,on,hyvä,"B,2018"
Kaleva,"2h, k, p",kt,"53,10",127000,2392,1960,5/6,on,huono,"G,2013"
Kaleva,"2-3h,kk,p",kt,"58,00",165000,2845,1956,1/6,on, ,"D,2007"
Hervanta,"2h,kt,s,vh,lasi...",kt,"36,00",95000,2639,1989,6/6,on,hyvä,
Hervanta,"2h, k, kph, vh, p",kt,"57,50",83000,1443,1979,4/7,on,hyvä,
Keskusta,"2h,kt,kph,vh",kt,"51,00",180000,3529,1965,6/7,on,hyvä,"F,2013"
Pyynikintori,"2h, k, kph",kt,"63,00",265000,4206,1932,2/7,on,hyvä,
Keskusta,"2h,kt",kt,"36,00",234650,6518,2018,5/8,on,hyvä,"C,2013"
Niemenranta,"2h, kk, ph, s, ...",kt,"43,50",165500,3805,2015,7/8,on,hyvä,
Hervanta,"2h,avokeitti...",kt,"48,00",99500,2073,1988,1/3,ei,tyyd.,"F,2013"
Lentävänniemi,"2h,kt,s, lasite...",kt,"44,00",149000,3386,2013,3/8,on,hyvä,"C,2013"
Kaleva,"2h,avokeitti...",kt,"53,00",177000,3340,1958,1/6,on,hyvä,"D,2007"
Linnainmaa,2h+k+s,kt,"63,00",125000,1984,1995,1/5,on,hyvä,"D,2007"
Vuores,2h+kt+kph+ransk...,kt,"35,00",125500,3586,2018,3/4,on,hyvä,
Keskusta,"2h, k",kt,"51,00",185000,3627,1958,2/4,on,hyvä,"D,2013"
Keskusta,"2h, k, vh",kt,"55,00",183000,3327,1963,7/7,on,hyvä,"D,2013"
Keskusta,"2h, k, kh",kt,"57,50",230000,4000,1956,6/7,on,hyvä,"D,2007"
Kaleva,"2h,kt,vh,p",kt,"37,00",161040,4352,2018,1/6,on, ,"C,2013"
Kaleva,"2h, pk, p",kt,"42,50",145000,3412,1963,1/6,on,hyvä,"F,2013"
Vuores,"2h,kk,s",kt,"44,00",144000,3273,2014,1/2,ei,hyvä,"C,2013"
Kaleva,"2h, kt, vh, p",kt,"45,50",173290,3809,2018,1/6,on,hyvä,C
Lapinniemi,"2h, kk, s, kph,...",kt,"79,50",274000,3447,1899,6/6,on,hyvä,"F,2007"
