Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Muotiala,"1h, kt, alk ",kt,"29,50",120000,4068,2015,1/2,ei,hyvä,"C,2013"
Hervanta,"1h, kt, kph, la...",kt,"25,50",113000,4431,2019,5/8,on,hyvä,
Härmälänranta,"1h,kt,alk",kt,"31,00",126000,4065,2016,5/5,on,hyvä,"C,2013"
Lentävänniemi,"1h, avok, rp",kt,"27,50",113988,4145,2019,4/6,on,hyvä,"C,2013"
Hatanpää,1H+ALK+KT,kt,"28,50",159600,5600,2019,4/7,on,hyvä,"C,2018"
Multisilta,"1h, kt",kt,"22,00",91980,4181,2019,6/8,on, ,"B,2018"
Härmälä,1h+kt+kph+ransk...,kt,"24,50",123900,5057,2018,6/7,on,hyvä,
Hervanta,1h+kt+kph+lasit...,kt,"25,50",114400,4486,2019,7/8,on,hyvä,
Härmälänranta,"1h, kt",kt,"21,00",119900,5710,2018,5/7,on,hyvä,"C,2018"
Lentävänniemi,"1h, kt, psh, p",kt,"32,50",139740,4300,2019,5/6,on,hyvä,
Hervanta,"1h, k, kh/wc, p",kt,"31,00",77500,2500,1980,1/6,on,tyyd.,"D,2013"
Tesomajärvi,"1h, kk",kt,"38,50",86000,2234,1970,6/7,on,hyvä,"G,2013"
Santalahti,,kt,"12,50",15900,1272,2019,1/4,on,hyvä,C
Kaleva,"1h, kk, kph/wc, et",kt,"29,50",107000,3627,1956,2/4,ei,tyyd.,"D,2007"
Hervanta,1h+kk+s+parveke,kt,"33,00",92000,2788,1985,5/5,on,tyyd.,"F,2018"
Keskusta,1h,kt,"13,00",33250,2558,2018,1/8,on,hyvä,"C,2013"
Nekala,"1h, k, kph",kt,"32,00",58500,1828,1948,2/2,ei,tyyd.,"G,2013"
Lentävänniemi,"1h, kt, kph, la...",kt,"27,50",125000,4545,2018,4/6,on,hyvä,
Tohloppi,"tupak, alk, kh",kt,"24,50",99652,4067,2005,1/4,on,hyvä,"C,2007"
Hervanta,1h+kk+alkovi+pa...,kt,"30,00",105000,3500,1990,5/8,on,tyyd.,"E,2018"
Vuores,1h+kt+lasitettu...,kt,"22,00",104000,4727,2018,5/5,on,hyvä,"C,2018"
Tammela,"1h, kk, kph",kt,"30,50",130000,4262,1974,6/7,on,tyyd.,"D,2013"
Hervanta,1h+kk+alkovi+pa...,kt,"32,00",74000,2313,1978,1/6,on,tyyd.,"C,2007"
Hatanpää,1H+ALK+KT,kt,"28,50",161100,5653,2019,5/7,on,hyvä,"C,2018"
Härmälä,"1h,k,kph",kt,"42,00",73000,1738,1936,2/2,ei,hyvä,"F,2013"
Lentävänniemi,1h+avok+ranskal...,kt,"27,50",122990,4472,2018,6/6,on,hyvä,
Ristinarkku,"1h,k",kt,"28,00",131200,4686,2019,3/7,on,hyvä,"C,2013"
Tammela,"1h,kk,kph",kt,"25,00",121100,4844,1958,4/7,on,hyvä,"E,2007"
Tesoma,1,kt,"1,00",9500,9500,2018,1/8,on,hyvä,"C,2018"
Tesoma,1,kt,"1,00",9500,9500,2018,1/8,on,hyvä,"C,2018"
Haukiluoma,"1h, kt, ph, las...",kt,"25,50",104000,4078,2017,1/4,on,hyvä,
Viinikka,"1h, k, wc/ kh, ...",kt,"36,00",88000,2444,1934,1/2,ei,hyvä,"F,2018"
Linnainmaa,"1h,k,lasit.p",kt,"45,00",127000,2822,2006,2/5,on, ,"E,2013"
Ristinarkku,"1h,k",kt,"26,00",135500,5212,2019,6/7,on,hyvä,"C,2013"
Hervanta,1h+k,kt,"32,00",78000,2438,1974,5/6,on,tyyd.,"G,2013"
Vuores,"1h, kt, kph, la...",kt,"21,50",105843,4923,2018,3/5,on,hyvä,
Vuores,"1h, kt, kph, la...",kt,"21,50",104000,4837,2018,3/5,on,hyvä,
Koivistonkylä,"1h, kk",kt,"26,50",73000,2755,1960,3/3,ei,hyvä,"F,2013"
Kaleva,1h+kk+p,kt,"29,00",133500,4603,1964,4/9,on,hyvä,"E,2013"
Hatanpää,1H+ALK+KT,kt,"31,00",159600,5148,2019,4/7,ei,hyvä,"C,2018"
Linnainmaa,1h+kt+kph+ransk...,kt,"27,50",114890,4178,2018,1/7,on,hyvä,
Rantaperkiö,"1h,k",kt,"32,00",85000,2656,1961,2/2,ei,tyyd.,"D,2018"
Lentävänniemi,"1h, avok, rp",kt,"27,50",128900,4687,2019,6/6,on,hyvä,"C,2013"
Ikuri,Autopaikka,kt,"10,00",3000,300,2017,1/1,ei,hyvä,C
Härmälänranta,"1h,kt,alk,lasit. p",kt,"26,00",131500,5058,2017,6/6,on,hyvä,"C,2013"
Keskusta,"1h, k",kt,"27,00",139150,5154,1901,3/5,on,huono,"G,2013"
Kaleva,"1h, kk, kph",kt,"32,00",117000,3656,1956,4/8,on,hyvä,"G,2013"
Lentävänniemi,1h+kt,kt,"25,00",109900,4396,2018,3/8,on,hyvä,C
Janka,"1h, kt",kt,"27,50",129652,4715,2019,4/5,on,hyvä,"C,2013"
Janka,"1h, kt",kt,"29,50",137598,4664,2020,3/5,ei,hyvä,"C,2013"
Lentävänniemi,"1h, avok, rp",kt,"27,50",113988,4145,2019,4/6,on,hyvä,"C,2013"
Haukiluoma,"1h, kt, kph, la...",kt,"21,50",93500,4349,2017,3/4,on,hyvä,
Tesoma,1h+kt+kph+lasit...,kt,"25,50",96500,3784,2018,1/6,on,hyvä,
Lentävänniemi,"1h, kt",kt,"29,00",129880,4479,2019,5/6,on, ,"C,2013"
Nekala,"1h, k, wc",kt,"32,00",54000,1688,1948,1/2,ei,tyyd.,"D,2007"
Hervanta,"1h, kk",kt,"33,00",72000,2182,1976,3/5,on,hyvä,"F,2013"
Vuores," 1 h, makuualko...",kt,"37,00",129000,3486,2015,4/5,on,hyvä,
Kaleva,"1,kt",kt,"31,00",156000,5032,2016,6/9,on,hyvä,"C,2013"
Amuri,"1h, kk, s, ph",kt,"34,00",110000,3235,1908,1/6,on,hyvä,
Härmälänranta,"1h,kt,kph,lasit...",kt,"21,00",117000,5571,2018,3/7,on,hyvä,"C,2018"
Lentävänniemi,"1h, kt",kt,"29,00",126820,4373,2019,2/6,on,hyvä,"C,2013"
